time,ax,ay,az,aT
0.0070,-0.1299,-0.0487,0.3955,0.419
0.0070,-0.1510,-0.0263,0.2790,0.318
0.0080,-0.1172,-0.0688,0.1170,0.179
0.0080,-0.0733,-0.0352,-0.0964,0.126
0.0090,0.0684,-0.0170,-0.3109,0.319
0.0100,0.1197,-0.0075,-0.4486,0.464
0.0170,0.1137,0.0134,-0.5251,0.537
0.0270,0.1267,-0.0040,-0.6479,0.660
0.0280,0.0659,0.0189,-0.7155,0.719
0.0380,-0.0570,0.0077,-0.7364,0.739
0.0400,-0.0868,0.0263,-0.7584,0.764
0.0410,-0.1388,0.0410,-0.7604,0.774
0.0460,-0.1860,0.0373,-0.7268,0.751
0.0570,-0.1305,0.0174,-0.6999,0.712
0.0590,-0.0927,0.0218,-0.6783,0.685
0.0600,-0.0449,0.0528,-0.6525,0.656
0.0900,0.0338,0.0994,-0.5879,0.597
0.0910,0.1518,0.0777,-0.5260,0.553
0.0920,0.2136,0.0488,-0.4274,0.480
0.0920,0.1667,0.0257,-0.3566,0.394
0.0930,0.0034,0.0128,-0.2643,0.265
0.0930,-0.1036,0.0051,-0.1506,0.183
0.1030,-0.1150,0.0009,-0.0227,0.117
0.1040,-0.0779,-0.0241,0.0215,0.084
0.1160,-0.0478,0.0193,0.1493,0.158
0.1170,-0.0195,0.0290,0.2255,0.228
0.1180,-0.0136,0.0156,0.2801,0.281
0.1300,0.0033,-0.0108,0.2916,0.292
0.1310,-0.0574,-0.0263,0.3138,0.320
0.1320,-0.0562,-0.0382,0.3456,0.352
0.1440,-0.0584,-0.0492,0.3692,0.377
0.1450,-0.0145,0.0030,0.4011,0.401
0.1500,0.0379,0.0165,0.4344,0.436
0.1520,0.0836,-0.0206,0.4512,0.459
0.1570,0.0916,-0.0114,0.4610,0.470
0.1620,0.0870,-0.0467,0.3957,0.408
0.1670,0.0445,-0.0333,0.3880,0.392
0.1720,-0.0150,-0.0383,0.3733,0.376
0.1770,-0.0392,-0.0471,0.3049,0.311
0.1930,0.0120,-0.0334,0.2965,0.299
0.1940,0.0331,-0.0199,0.2140,0.217
0.1940,0.0326,-0.0160,0.2009,0.204
0.2070,0.0466,-0.0285,0.1593,0.168
0.2090,0.0644,-0.0464,0.0963,0.125
0.2100,0.0673,-0.0528,0.0836,0.120
0.2130,0.0554,-0.0618,0.0543,0.099
0.2290,0.0765,-0.0565,-0.0060,0.095
0.2300,0.0527,-0.0310,0.0127,0.062
0.2310,0.0639,-0.0221,-0.0140,0.069
0.2410,0.0644,-0.0237,-0.0036,0.069
0.2420,0.0095,-0.0238,-0.0817,0.086
0.2430,0.0070,-0.0091,-0.0772,0.078
0.2540,-0.0095,-0.0262,-0.1291,0.132
0.2550,0.0153,-0.0080,-0.1774,0.178
0.2590,-0.0096,-0.0047,-0.1802,0.181
0.2630,-0.0073,0.0137,-0.1879,0.189
0.2690,0.0209,0.0041,-0.1718,0.173
